REGIONAL_OFFICE_NAME,PRACTICE_NAME,PRACTICE_CODE,POSTCODE,QUANTITY,ITEMS,TOTAL_QUANTITY,NIC,ACTUAL_COST,UNIDENTIFIED,ADQ_USAGE,FECHA,SUSTANCIA,PRESENTACION,REGION_NAME
SOUTH WEST,BEAUFORT ROAD SURGERY,J81018,BH6 5AJ,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,DORSET STP
SOUTH EAST,BEACONSFIELD MEDICAL PRACTICE,G81042,BN1 6AG,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,SUSSEX & EAST SURREY STP
SOUTH EAST,LINKS ROAD SURGERY,G81663,BN41 1XH,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,SUSSEX & EAST SURREY STP
EAST OF ENGLAND,EAST LYNNE MEDICAL CENTRE,F81037,CO15 3PP,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,SUFFOLK & NORTH EAST ESSEX STP
EAST OF ENGLAND,TIPTREE MEDICAL CENTRE,F81133,CO5 0HB,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,SUFFOLK & NORTH EAST ESSEX STP
EAST OF ENGLAND,KADIM PRIMECARE MEDICAL CENTRE,F81623,RM17 6DB,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,MID AND SOUTH ESSEX STP
EAST OF ENGLAND,ROSE VILLA SURGERY,F81645,SS13 3DW,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,MID AND SOUTH ESSEX STP
EAST OF ENGLAND,DR SALAKO AND PARTNERS,Y03052,SS16 6SA,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,MID AND SOUTH ESSEX STP
EAST OF ENGLAND,ST LUKE'S HEALTH CENTRE,Y02707,SS2 4BD,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,MID AND SOUTH ESSEX STP
EAST OF ENGLAND,SCHOPWICK SURGERY,E82043,WD6 3BJ,4,1,4,293.0,272.7223,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,HERTFORDSHIRE & WEST ESSEX STP
NORTH WEST,LAYTON MEDICAL CENTRE,P81066,FY3 7EN,1,41,41,3003.25,2795.78485,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
NORTH WEST,RIBBLETON MEDICAL CENTRE,P81184,PR2 6RD,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,HEALTHIER LANCASHIRE & SOUTH CUMBRIA STP
LONDON,THE FIRS,F86001,E17 7JT,2,1,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,EAST LONDON HEALTH & CARE P/SHIP STP
LONDON,THE REDCLIFFE SURGERY,E87004,SW10 9DT,1,3,3,219.75,204.56962,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
LONDON,CROSSLANDS SURGERY,E85114,UB2 5QY,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
MIDLANDS,WELLINGTON ROAD SURGERY,M82028,TF10 7HG,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,SHROPSHIRE & TELFORD & WREKIN STP
MIDLANDS,BLURTON MEDICAL CENTRE,M83725,ST3 3BS,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,STAFFORDSHIRE & STOKE ON TRENT STP
MIDLANDS,BIDDULPH VALLEY SURGERY,M83046,ST8 6AG,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 1mg/0.74ml inj 3ml pre-filled disposable device,STAFFORDSHIRE & STOKE ON TRENT STP
EAST OF ENGLAND,SWAN SURGERY,D83610,IP33 1AE,1,2,2,146.5,136.36735,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,SUFFOLK & NORTH EAST ESSEX STP
EAST OF ENGLAND,DEAL TREE HEALTH CENTRE,F81215,CM15 0HU,2,1,2,146.5,136.35495,N,0.0,2021-01-01,Semaglutide,Ozempic 1mg/0.74ml inj 3ml pre-filled pens,MID AND SOUTH ESSEX STP
LONDON,GP DIRECT,E84058,HA2 0RQ,1,2,2,146.5,136.37975,N,0.0,2021-01-01,Semaglutide,Ozempic 0.5mg/0.37ml inj 1.5ml pre-filled pens,NW LONDON HEALTH & CARE PARTNERSHIP STP
LONDON,THE RIDGEWAY SURGERY,E84068,HA2 7DU,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,NW LONDON HEALTH & CARE PARTNERSHIP STP
NORTH WEST,MAGHULL HEALTH CENTRE (DR SAPRE),N84010,L31 0DJ,1,1,1,73.25,68.18987,N,0.0,2021-01-01,Semaglutide,Semaglutide 0.5mg/0.37ml inj 1.5ml pf dispos dev,CHESHIRE & MERSEYSIDE STP
NORTH EAST AND YORKSHIRE,TADCASTER MEDICAL CENTRE,B82105,LS24 8HD,30,1,30,78.48,73.0577,N,0.0,2021-01-01,Semaglutide,Semaglutide 3mg tablets,"HUMBER, COAST & VALE STP"
EAST OF ENGLAND,CASTLE MEDICAL GROUP PRACTICE,E81013,LU1 3AG,1,4,4,293.0,272.7595,N,0.0,2021-01-01,Semaglutide,Ozempic 0.25mg/0.19ml inj 1.5ml pre-filled pens,"BEDFORDSHIRE, LUTON & MILTON KEYNES STP"
