mes,sustancia,status,filas,detalle
202509,Semaglutide,ok,39265.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202509,Liraglutide,ok,900.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202509,Dulaglutide,ok,17702.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202509,Exenatide,ok,1031.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202509,Lixisenatide,ok,2.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202509,Tirzepatide,ok,46720.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202510,Semaglutide,ok,39826.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202510,Liraglutide,ok,908.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202510,Dulaglutide,ok,17558.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202510,Exenatide,ok,561.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202510,Lixisenatide,ok,1.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202510,Tirzepatide,ok,46762.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202511,Semaglutide,ok,39149.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202511,Liraglutide,ok,917.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202511,Dulaglutide,ok,17071.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202511,Exenatide,ok,349.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202511,Lixisenatide,ok,2.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202511,Tirzepatide,ok,46910.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202512,Semaglutide,ok,43185.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202512,Liraglutide,ok,887.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202512,Dulaglutide,ok,17296.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202512,Exenatide,ok,238.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202512,Lixisenatide,ok,1.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202512,Tirzepatide,ok,48576.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202601,Semaglutide,ok,44386.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202601,Liraglutide,ok,901.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202601,Dulaglutide,ok,17094.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202601,Exenatide,ok,154.0,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
202601,Lixisenatide,zero,,"{'__type': 'Internal Server Error', 'message': 'Internal Server Error'}"
